speno, spot_deployid,spot_ptt,splash_deployid,splash_ptt,lhx, age, sex, mass
PV2014_2005,PV2014_2005_14U0356,143952,PV2014_2005_15A0888,164822,yes,adult,female,71.0
PV2016_3011,PV2016_3011_16U1831,164855,PV2016_3011_15A0894,1648282,yes,sub-adult,female,56.0
PV2016_3012,PV2016_3012_15U2976,160961,PV2016_3012_15A0885,164819,yes,adult,female,74.4
PV2016_3016,PV2016_3016_16U1810,164848,PV2016_3016_16A0230,164837,yes,sub-adult,female,54.2
PV2016_3019,PV2016_3019_16U1829,164854,PV2016_3019_16A0222,164831,yes,sub-adult,male,64.6
PV2016_3022,PV2016_3022_16U1828,164853,PV2016_3022_16A0232,164839,yes,adult,male,64.0
PV2016_3027,PV2016_3027_16U1814,164849,PV2016_3027_15A0886,164820,yes,sub-adult,female,46.6 
PV2016_3031,PV2016_3031_15U2843,160950,PV2016_3031_16A0225,164833,yes,adult,male,97.0
PV2016_3032,PV2016_3032_16U1826,164852,PV2016_3032_16A0228,164835,yes,sub-adult,male,54.0
PV2016_3033,PV2016_3033_14U0350,143949,PV2016_3033_15A0908,160940,yes,sub-adult,female,44.5
PV2016_3001,PV2016_3001_15U2973,160958,PV2016_3001_16A0227,164834,no,adult,female,83.0
PV2016_3002,PV2016_3002_16U0300,160974,PV2016_3002_15A0892,164826,no,adult,female,106.0
PV2016_3003,PV2016_3003_16U1213,164846,PV2016_3003_15A0889,164823,no,adult,female,89.0
PV2016_3004,PV2016_3004_15U2966,160952,PV2016_3004_15A0890,164824,no,sub-adult,male,64.0
PV2016_3005,PV2016_3005_16U1212,164845,PV2016_3005_15A0887,164821,no,sub-adult,male,49.0
PV2016_3007,PV2016_3007_16U1822,164851,PV2016_3007_16A0235,164841,no,adult,male,82.0
PV2016_3008,PV2016_3008_16U1851,164857,PV2016_3008_16A0233,164840,no,adult,female,77.5
PV2016_3009,PV2016_3009_16U0296,160970,PV2016_3009_16A0236,164842,no,sub-adult,male,64.0
PV2016_3010,PV2016_3010_15U2840,160949,PV2016_3010_16A0220,164829,no,adult,male,61.0
PV2016_3013,PV2016_3013_15U2977,160962,PV2016_3013_15A0893,164827,no,adult,male,73.0
PV2016_3014,PV2016_3014_16U1211,164844,PV2016_3014_16A0221,164830,no,adult,male,83.0
PV2016_3015,,,PV2016_3015_16A0237,164843,no,young-of-year,female,29.0
PV2016_3017,PV2016_3017_16U1849,164856,PV2016_3017_16A0229,164836,no,sub-adult,male,50.0
PV2016_3018,PV2016_3018_16U0297,160971,PV2016_3018_16A0231,164838,no,sub-adult,male,38.5
PV2016_3020,PV2016_3020_16U1820,164850,PV2016_3020_,160939,no,young-of-year,female,27.6
PV2016_3021,PV2016_3021_15U2979,160964,PV2016_3021_15A0891,164825,no,sub-adult,female,46.0
PV2016_3023,PV2016_3023_16U0215,160967,PV2016_3023_16A0223,164832,no,sub-adult,male,53.0
PV2016_3024,PV2016_3024_16U1852,164858,PV2016_3024_15A0909,160941,no,young-of-year,female,32.0
PV2016_3025,PV2016_3025_15U2978,160963,PV2016_3025_15A0914,160946,no,young-of-year,female,31.0
PV2016_3026,PV2016_3026_14U0361,143957,PV2016_3026_15A0906,160938,no,young-of-year,male,30.4
PV2016_3028,,,PV2016_3028_15A0911,160943,no,young-of-year,male,29.0
PV2016_3029,,,PV2016_3029_15A0912,160944,no,young-of-year,male,30.0
PV2016_3030,PV2016_3030_15U2967,160953,PV2016_3030_15A0913,160945,no,adult,female,75.0
PV2016_3034,PV2016_3034_16U1809,164847,PV2016_3034_15A0915,160947,no,sub-adult,male,38.5
PV2016_3035,PV2016_3035_15U2074,164879,PV2016_3035_15A0910,160942,no,adult,female,68.5
